Date,Open,High,Low,Close,Volume
4/27/17,238.770004,238.949997,237.979996,218.645844,57410300
4/28/17,238.899994,238.929993,237.929993,218.169327,63532800
5/1/17,238.679993,239.169998,238.199997,218.719147,66882500
5/2/17,238.839996,238.979996,238.300003,218.80162,57375700
5/3/17,238.770004,238.880005,237.699997,218.535858,73137700
5/4/17,238.830002,238.919998,237.779999,218.792465,61462700
5/5/17,239.190002,239.720001,238.679993,219.653854,62001300
5/8/17,239.75,239.919998,239.169998,219.617218,48385700
5/9/17,239.960007,240.190002,239.039993,219.415619,51363200
5/10/17,239.389999,239.869995,239.149994,219.809647,54293800
5/11/17,239.350006,239.570007,238.130005,219.360626,62358300
5/12/17,239.089996,239.429993,238.669998,218.994064,53912700
5/15/17,239.470001,240.440002,239.449997,220.203674,61918900
5/16/17,240.639999,240.669998,239.630005,220.002045,51241800
5/17/17,240.080002,240.080002,235.75,216.098343,172174100
5/18/17,235.729996,237.75,235.429993,216.968872,107047700
5/19/17,237.330002,239.080002,237.270004,218.380096,115011400
5/22/17,238.899994,239.710007,238.820007,219.488922,61010600
5/23/17,239.949997,240.240005,239.509995,219.974564,48341700
5/24/17,240.320007,240.729996,239.929993,220.487762,46927700
5/25/17,241.199997,242.080002,240.960007,221.54155,64071700
5/26/17,241.539993,241.899994,241.449997,221.495758,46629900
5/30/17,241.339996,241.789993,241.160004,221.303314,35201900
5/31/17,241.839996,241.880005,240.639999,221.248306,91796000
6/1/17,241.970001,243.380005,241.639999,223.007782,68962000
6/2/17,243.419998,244.350006,243.080002,223.75,88666100
6/5/17,243.970001,244.300003,243.759995,223.585129,44698800
6/6/17,243.339996,243.979996,243.119995,222.870346,50375400
6/7/17,243.600006,243.919998,242.830002,223.282715,54144300
6/8/17,243.770004,244.330002,243.169998,223.392624,65950700
6/9/17,244.089996,245.009995,241.949997,223.053574,132256400
6/12/17,243.130005,243.419998,242.380005,223.007782,86108100
6/13/17,243.979996,244.610001,243.580002,224.098251,60067000
6/14/17,244.860001,244.869995,243.289993,223.814178,78602300
6/15/17,242.679993,243.910004,242.360001,223.383484,66464900
6/16/17,242.770004,242.830002,241.630005,223.432297,84553100
6/19/17,243.589996,244.729996,243.479996,225.292374,65123800
6/20/17,244.25,244.259995,242.990005,223.772964,56906400
6/21/17,243.460007,243.589996,242.410004,223.717743,55977600
6/22/17,242.960007,243.529999,242.639999,223.61644,44148100
6/23/17,242.910004,243.509995,242.470001,223.883499,66986800
6/26/17,243.899994,244.380005,243.050003,224.030838,56700500
6/27/17,243.039993,243.380005,241.309998,222.226013,82247700
6/28/17,242.5,243.720001,242.229996,224.214981,70042600
6/29/17,243.660004,243.720001,239.960007,222.244385,106949700
6/30/17,242.279999,242.710007,241.580002,222.658768,86820700
7/3/17,242.880005,243.380005,242.210007,223.036346,39153800
7/5/17,242.630005,243.009995,241.699997,223.552017,54427600
7/6/17,241.889999,242.029999,240.339996,221.507767,65400800
7/7/17,241.210007,242.279999,240.559998,222.944244,57972300
7/10/17,242.110001,242.800003,241.759995,223.183655,36663300
7/11/17,242.369995,242.550003,240.850006,223.017944,50354600
7/12/17,243.300003,244.199997,243.300003,224.693848,59610400
7/13/17,244.020004,244.550003,243.759995,225.071365,39471600
7/14/17,244.419998,245.970001,244.309998,226.12114,60262700
7/17/17,245.470001,245.910004,245.330002,226.093506,33531900
7/18/17,245.059998,245.720001,244.669998,226.213211,42742500
7/19/17,246.020004,247,246.009995,227.437958,51034300
7/20/17,247.279999,247.419998,246.470001,227.53923,47135200
7/21/17,246.440002,246.910004,246.179993,227.336639,82340800
7/24/17,246.789993,246.979996,246.279999,227.281387,46622300
7/25/17,247.679993,247.800003,247.160004,227.833893,54915600
7/26/17,247.75,247.789993,247.130005,227.843079,47575400
7/27/17,247.960007,248,245.679993,227.631287,70766600
7/28/17,246.649994,247.059998,246.130005,227.364258,50088400
7/31/17,247.369995,247.479996,246.529999,227.235382,65838700
8/1/17,247.460007,247.5,246.720001,227.741806,55050400
8/2/17,247.470001,247.600006,246.369995,227.85228,47211200
8/3/17,247.309998,247.339996,246.639999,227.410324,40856000
8/4/17,247.520004,247.789993,246.970001,227.824677,60191800
8/7/17,247.490005,247.869995,247.369995,228.24826,31995000
8/8/17,247.509995,248.910004,246.830002,227.686539,61719400
8/9/17,246.470001,247.309998,246.059998,227.677338,62632600
8/10/17,246.289993,246.440002,243.699997,224.463654,120479500
8/11/17,244.020004,244.800003,243.75,224.79512,74869900
8/14/17,245.589996,246.789993,245.550003,227.023544,73291900
8/15/17,246.979996,247,246.160004,226.995926,55242700
8/16/17,247.110001,247.570007,246.449997,227.391891,56715500
8/17/17,246.240005,246.600006,243.089996,223.846664,128490400
8/18/17,242.899994,244.190002,242.199997,223.496765,136748000
8/21/17,242.639999,243.199997,241.830002,223.671677,65469700
8/22/17,243.570007,245.619995,243.550003,226.010651,63140100
8/23/17,244.330002,245.050003,244.160004,225.200272,50203800
8/24/17,245,245.179993,243.75,224.675415,50741700
8/25/17,244.899994,245.610001,244.389999,225.200272,64445900
8/28/17,245.169998,245.199997,244.089996,225.209488,40565600
8/29/17,243.059998,245.149994,242.929993,225.467346,51135700
8/30/17,244.830002,246.320007,244.619995,226.535507,62030800
8/31/17,246.720001,247.770004,246.050003,227.898361,103803900
9/1/17,247.919998,248.330002,247.669998,228.220612,62007000
9/5/17,247.259995,247.520004,244.949997,226.581558,91398800
9/6/17,246.839996,247.279999,246.229996,227.355072,57916900
9/7/17,247.25,247.270004,246.399994,227.327423,58034700
9/8/17,246.539993,247.110001,246.300003,227.060379,63832800
9/11/17,248.039993,249.300003,248.020004,229.482239,71364800
9/12/17,249.630005,250.089996,249.419998,230.255692,56896000
9/13/17,249.720001,250.210007,249.589996,230.366211,59228000
9/14/17,249.800003,250.320007,249.600006,230.292526,95446300
9/15/17,248.690002,249.289993,248.570007,230.602539,95432400
9/18/17,249.610001,250.119995,249.279999,231.093002,46235200
9/19/17,250,250.070007,249.600006,231.324356,47108100
9/20/17,250.070007,250.190002,248.919998,231.407623,59574100
9/21/17,249.880005,249.979996,249.190002,230.787643,48211400
9/22/17,249.050003,249.630005,249.020004,230.833908,51214000
9/25/17,249.149994,249.550003,248.080002,230.361923,57064400
9/26/17,249.419998,249.699997,248.809998,230.500778,54082000
9/27/17,249.880005,250.490005,248.869995,231.398392,81001400
9/28/17,249.729996,250.440002,249.630005,231.67601,44778800
9/29/17,250.339996,251.320007,250.130005,232.490387,85578000
10/2/17,251.490005,252.320007,251.289993,233.499084,59023000
10/3/17,252.320007,252.889999,252.229996,233.99881,66810200
10/4/17,252.690002,253.440002,252.559998,234.276413,55953600
10/5/17,253.539993,254.679993,253.199997,235.664551,63522800
10/6/17,254.149994,254.699997,253.850006,235.396179,80646000
10/9/17,254.630005,254.699997,253.649994,235.007477,35803100
10/10/17,254.600006,255.050003,253.979996,235.627502,43057400
10/11/17,254.509995,255.020004,254.320007,235.997696,47674300
10/12/17,254.660004,255.059998,254.369995,235.646057,47065100
10/13/17,255.139999,255.270004,254.639999,235.932907,54800400
10/16/17,255.210007,255.509995,254.820007,236.247559,38221700
10/17/17,255.229996,255.520004,254.979996,236.414108,31561000
10/18/17,255.899994,255.949997,255.5,236.645462,40888300
10/19/17,254.830002,255.830002,254.350006,236.710236,61903800
10/20/17,256.700012,257.140015,255.770004,237.931778,89176400
10/23/17,257.480011,257.51001,256.019989,237.006378,63915300
10/24/17,256.600006,256.829987,256.149994,237.422791,66935900
10/25/17,256.179993,256.309998,254,236.247559,103715300
10/26/17,255.990005,256.299988,255.479996,236.552902,69798000
10/27/17,256.470001,257.890015,255.630005,238.48703,85562500
10/30/17,256.470001,257.600006,256.410004,237.598648,54285700
10/31/17,257.179993,257.440002,256.809998,237.968796,60304800
11/1/17,258.040009,258.429993,257.070007,238.283447,54202700
11/2/17,257.410004,257.75,256.190002,238.376007,56449500
11/3/17,257.769989,258.5,257.299988,239.171814,59589700
11/6/17,258.299988,259,258.220001,239.541992,49652600
11/7/17,258.970001,259.350006,258.089996,239.375458,57502200
11/8/17,258.470001,259.220001,258.149994,239.782623,50469600
11/9/17,257.730011,258.390015,256.359985,238.912735,95085500
11/10/17,257.730011,258.290009,257.369995,238.838699,59984700
11/13/17,257.309998,258.589996,257.269989,239.06076,50228600
11/14/17,257.410004,257.850006,256.519989,238.505569,61315200
11/15/17,256.619995,257.220001,255.630005,237.311752,80811500
11/16/17,257.519989,259.040009,257.470001,239.329117,67777000
11/17/17,258.220001,258.589996,257.769989,238.625824,75756800
11/20/17,258.140015,258.519989,257.859985,239.03299,48075500
11/21/17,259.179993,260.200012,258.26001,240.596939,69176800
11/22/17,260,260.149994,259.570007,240.38414,45033400
11/24/17,260.320007,260.480011,260.160004,240.939331,27856500
11/27/17,260.410004,260.75,260,240.819061,52274900
11/28/17,260.76001,262.899994,260.649994,243.26207,98971700
11/29/17,263.019989,263.630005,262.200012,243.114075,77512100
11/30/17,263.76001,266.049988,263.670013,245.242493,127894400
12/1/17,264.76001,265.309998,260.76001,244.733521,164390900
12/4/17,266.309998,266.799988,264.079987,244.437454,94040600
12/5/17,263.190002,265.149994,263.040009,243.558289,77994500
12/6/17,263.299988,263.730011,262.709991,243.604553,75898600
12/7/17,264.070007,264.429993,262.940002,244.37265,77218600
12/8/17,265.160004,265.519989,264.029999,245.705215,76563900
12/11/17,266.309998,266.380005,265.480011,246.445511,83077500
12/12/17,267.209991,267.320007,266.350006,246.880432,85195800
12/13/17,267.059998,267.559998,266.649994,246.852722,102905400
12/14/17,267.089996,267.220001,265.600006,245.844086,100666700
12/15/17,265.450012,267.040009,265.390015,247.891266,144610300
12/18/17,268.100006,268.600006,267.980011,249.463272,83653600
12/19/17,268.480011,268.529999,267.089996,248.505142,82382900
12/20/17,268.269989,268.329987,266.690002,248.374954,76751500
12/21/17,267.73999,268.390015,267.299988,248.886536,67032300
12/22/17,267.600006,267.640015,266.899994,248.821396,78720900
12/26/17,267.049988,267.440002,266.890015,248.523758,45244400
12/27/17,267.380005,267.730011,267.01001,248.644699,57751000
12/28/17,267.890015,267.920013,267.450012,249.15625,45116100
12/29/17,268.529999,268.549988,266.640015,248.216812,96007400
1/2/18,267.839996,268.809998,267.399994,249.993454,86655700
1/3/18,268.959991,270.640015,268.959991,251.5746,90070400
1/4/18,271.200012,272.160004,270.540009,252.634933,80636400
1/5/18,272.51001,273.559998,271.950012,254.318573,83524000
1/8/18,273.309998,274.100006,272.980011,254.783554,57319200
1/9/18,274.399994,275.25,274.079987,255.360367,57254000
1/10/18,273.679993,274.420013,272.920013,254.969604,69574300
1/11/18,274.75,276.119995,274.559998,256.829865,62361500
1/12/18,276.420013,278.109985,276.079987,258.504181,90816100
1/16/18,279.350006,280.089996,276.179993,257.620514,106555100
1/17/18,278.029999,280.049988,276.970001,260.07605,113258800
1/18/18,279.480011,279.959991,278.579987,259.638947,100728000
1/19/18,279.799988,280.410004,279.140015,260.820221,140920100
1/22/18,280.170013,282.690002,280.109985,262.940918,91322400
1/23/18,282.73999,283.619995,282.369995,263.499054,97084700
1/24/18,284.019989,284.700012,281.839996,263.396637,134816100
1/25/18,284.160004,284.269989,282.399994,263.508301,84587300
1/26/18,284.25,286.630005,283.959991,266.559143,107743100
1/29/18,285.929993,286.429993,284.5,264.791931,90118300
1/30/18,282.600006,284.73999,281.220001,262.075867,131796400
1/31/18,282.730011,283.299988,280.679993,262.206085,108364800
2/1/18,281.070007,283.059998,280.679993,261.908447,90102500
2/2/18,280.079987,280.230011,275.410004,256.206726,173174800
2/5/18,273.450012,275.850006,263.309998,245.491501,294681800
2/6/18,259.940002,269.700012,258.700012,250.328293,355026800
2/7/18,268.5,272.359985,267.579987,248.970291,167376100
2/8/18,268.01001,268.170013,257.589996,239.631638,246449500
2/9/18,260.799988,263.609985,252.919998,243.231308,283565300
2/12/18,263.829987,267.01001,261.660004,246.803009,143736000
2/13/18,263.970001,266.619995,263.309998,247.416916,81223600
2/14/18,264.309998,270,264.299988,250.756012,120735700
2/15/18,271.570007,273.040009,268.769989,253.955765,111200300
2/16/18,272.320007,275.320007,272.269989,254.030151,160420100
2/20/18,272.029999,273.670013,270.5,252.439636,86369700
2/21/18,271.899994,274.720001,269.940002,251.18399,98883700
2/22/18,271.100006,273.049988,269.640015,251.509506,110511300
2/23/18,271.790009,274.709991,271.25,255.518387,92766400
2/26/18,275.929993,278.01001,275.26001,258.485565,86491400
2/27/18,278.109985,278.920013,274.359985,255.25795,99099200
2/28/18,275.679993,276.190002,271.290009,252.67218,121907800
3/1/18,271.410004,273.170013,266,248.998169,176855100
3/2/18,265.799988,269.720001,264.820007,250.281693,139083200
3/5/18,267.730011,272.890015,267.609985,253.174469,97307400
3/6/18,273.299988,273.390015,271.179993,253.816284,79213200
3/7/18,270.420013,273.179993,270.200012,253.723328,87063500
3/8/18,273.549988,274.23999,272.420013,254.951019,66901200
3/9/18,275.700012,278.869995,275.339996,259.387817,113625300
3/12/18,279.200012,279.910004,278.079987,259.062195,71924800
3/13/18,279.839996,280.410004,276.029999,257.38797,91968900
3/14/18,277.809998,278.019989,274.670013,256.067139,105895100
3/15/18,275.880005,276.609985,274.429993,255.788147,83433000
3/16/18,274.5,275.390015,274.140015,256.065491,100343700
3/19/18,273.350006,274.399994,268.619995,252.600861,109208400
3/20/18,270.940002,271.670013,270.179993,253.030487,59757300
3/21/18,270.899994,273.269989,270.190002,252.544815,78709600
3/22/18,267.910004,268.869995,263.359985,246.231949,148785900
3/23/18,264.170013,264.540009,257.829987,240.983612,183534800
3/26/18,262.130005,265.429993,259.410004,247.576691,141956100
3/27/18,266.170013,266.769989,258.839996,243.36496,129941400
3/28/18,260.75,262.640015,258.579987,242.645889,146452300
3/29/18,261.119995,265.26001,259.839996,245.746307,111601600
4/2/18,262.549988,263.130005,254.669998,240.441986,186286300
4/3/18,258.869995,261.309998,256.839996,243.523727,119956900
4/4/18,256.75,264.359985,256.600006,246.129227,123715300
4/5/18,265.549988,266.640015,264.320007,248.07164,82652600
4/6/18,263.420013,265.109985,258,242.543167,179521200
4/9/18,261.369995,264.839996,259.940002,243.73851,105442900
4/10/18,264.269989,266.040009,262.980011,247.614059,103529000
4/11/18,263.470001,265.640015,263.390015,246.315994,91140200
4/12/18,265.26001,267,265.059998,248.342438,68890500
4/13/18,267.410004,267.540009,264.01001,247.614059,85079200
4/16/18,267,268.200012,266.070007,249.649857,63405300
4/17/18,269.329987,270.869995,268.75,252.320694,64682000
4/18/18,270.690002,271.299988,269.869995,252.507462,57303900
4/19/18,269.649994,269.880005,267.720001,251.106674,77655900
4/20/18,268.809998,269.059998,265.609985,248.977463,99953100
4/23/18,267.26001,267.890015,265.350006,248.940125,65558000
4/24/18,267.730011,267.980011,261.279999,245.587555,112885500
4/25/18,262.910004,264.130005,260.850006,246.194565,103840900
4/26/18,264.790009,267.25,264.290009,248.697266,67731900
4/27/18,267,267.339996,265.5,248.930756,57053600
4/30/18,267.26001,267.890015,264.429993,247.016388,82182300
5/1/18,263.869995,265.100006,262.109985,247.455338,74203400
5/2/18,264.76001,265.679993,262.76001,245.792969,86368900
5/3/18,262.26001,263.359985,259.049988,245.251312,136311500
5/4/18,261.519989,266.790009,261.149994,248.426514,91222100
